Club,Last_Name,First_Name,Position,Salary,Guaranteed_Comp
New York Red Bulls,Christianson,Ian,M,48825.00,48825.00
Columbus Crew,Clark,Steven,GK,135000.00,138333.33
Houston Dynamo,Clark,Ricardo,M,288000.00,321750.00
Vancouver Whitecaps,Clarke,Caleb,F,60000.00,60000.00
Sporting Kansas City,Claros,Jorge,M,90000.00,90000.00
Houston Dynamo,Cochran,AJ,D,57500.00,73500.00
Chicago Fire,Cochrane,Greg,D,48500.00,48500.00
Chicago Fire,Cocis,Razvan,M,140004.00,146670.67
Sporting Kansas City,Collin,Aurelien,D,275000.00,281250.00
New York Red Bulls,Convey,Bobby,M,137500.00,147500.00
Seattle Sounders FC,Cooper,Kenny,F,200000.00,265625.00
Chivas USA,Correa,Jose Erick,F,70000.00,70000.00
FC Dallas,Craft,Coy,F,48504.00,65587.33
Toronto FC,Creavalle,Warren,D,90000.00,100500.00
Montreal Impact,Crepeau,Maxime,GK,48500.00,48500.00
San Jose Earthquakes,Cronin,Sam,M,185000.00,187500.00
Philadelphia Union,Cruz,Danny,M,125000.00,131666.67
Houston Dynamo,Cummings,Omar,F,250000.00,264000.00
Montreal Impact,Danso,Mamadou,D,87500.00,87500.00
New England Revolution,Davies,Charlie,F,75000.00,78940.63
Houston Dynamo,Davis,Brad,M,345000.00,392062.50
Vancouver Whitecaps,Dean,Christian,D,80000.00,161000.00
Toronto FC,Defoe,Jermain,F,6000000.00,6180000.00
LA Galaxy,DeLaGarza,AJ,D,132500.00,155000.00
DC United,DeLeon,Nick,M,85690.00,120690.00
Chivas USA,Delgado,Marco,M,75000.00,77500.00
Seattle Sounders FC,Dempsey,Clint,F,4913004.00,6695188.75
Houston Dynamo,Deric,Tyler,GK,90000.00,97666.67
Toronto FC,DeRosario,Dwayne,M,137000.00,173000.00
Montreal Impact,Di Vaio,Marco,F,1500000.00,2600000.00
FC Dallas,Diaz,Mauro,M,325000.00,411000.00
Toronto FC,Dike,Bright,F,60637.50,63575.00
Vancouver Whitecaps,Diouf,Mamadou,F,48500.00,61000.00
San Jose Earthquakes,Djalo,Yannick,M,200000.00,300000.00
LA Galaxy,Donovan,Landon,F,4250000.00,4583333.33
New England Revolution,Dorman,Andy,M,135000.00,135000.00
Sporting Kansas City,Dovale,Toni,D,180000.00,185000.00
DC United,Doyle,Conor,F,48500.00,49750.00
Houston Dynamo,Driver,Andrew,M,130000.00,144583.33
Montreal Impact,Duka,Dilaver,M,165000.00,190000.00
Sporting Kansas City,Duke,Christian,D,36500.00,36500.00
LA Galaxy,Dunivant,Todd,D,140000.00,160750.00
Chivas USA,Dunn,Matthew,M,48500.04,48500.04
New York Red Bulls,Duvall,Chris,D,36504.00,36504.00
Sporting Kansas City,Dwyer,Dom,F,80000.00,92500.00
DC United,Dykstra,Andrew,GK,48825.00,48825.00
Chicago Fire,Earnshaw,Robert,F,204000.00,206250.00
New York Red Bulls,Eckersley,Richard,D,255000.00,373333.33
Philadelphia Union,Edu,Maurice,M,650000.00,650000.00
Sporting Kansas City,Ellis,Kevin,D,48825.00,49575.00
Colorado Rapids,Eloundou,Charles,F,48825.00,53825.00
FC Dallas,Escobar,Andres,F,625000.00,647000.00
DC United,Espindola,Fabian,F,150000.00,150000.00
DC United,Estrada,David,F,48825.00,48825.00
Portland Timbers,Evans,Steven,M,48825.00,53825.00
Seattle Sounders FC,Evans,Brad,F,267665.00,293666.25
Philadelphia Union,Fabinho,,D,96000.00,100500.00
New England Revolution,Fagundez,Diego,F,110000.00,137200.00
New England Revolution,Farrell,Andrew,D,95000.00,176000.00
Sporting Kansas City,Feilhaber,Benny,M,325000.00,337187.50
Philadelphia Union,Fernandes,Leo,M,48500.00,48500.00
FC Dallas,Fernandez,Raul,GK,160000.00,247500.00
Portland Timbers,Fernandez,Gaston,F,150000.00,150000.00
Real Salt Lake,Fernandez,Eduardo,GK,36500.00,36500.00
Vancouver Whitecaps,Fernandez,Sebastian,M,143000.00,143000.00
Montreal Impact,Ferrari,Matteo,D,300000.00,355475.00
Real Salt Lake,Findley,Robbie,F,215000.00,245500.00
Columbus Crew,Finlay,Ethan,F,50847.50,65847.50
Chivas USA,Finley,Ryan,F,51150.00,78650.00
Portland Timbers,Fochive,George,M,36500.00,36500.00
Chicago Fire,Fondy,Matthew,F,48500.00,48500.00
Seattle Sounders FC,Ford,Josh,GK,48500.00,50239.94
Columbus Crew,Francis,Waylon,D,125000.00,153875.00
San Jose Earthquakes,Francis,Shaun,D,55000.00,57889.79
Chicago Fire,Franco,Marco,D,36500.00,36500.00
DC United,Franklin,Sean,D,178333.32,209999.99
Seattle Sounders FC,Frei,Stefan,GK,150000.00,150000.00
Columbus Crew,Friedman,Ross,D,36500.00,36500.00
LA Galaxy,Friend,Rob,F,85000.00,91000.00
Vancouver Whitecaps,Froese,Kianz,M-F,44004.00,48504.00
San Jose Earthquakes,Fucito,Michael,MF,57750.00,60639.79
Philadelphia Union,Gaddis,Raymon,D,52313.00,52313.00
Montreal Impact,Gagnon-Lapare,Jeremy,M,36504.00,40504.00
Columbus Crew,Gall,Romain,M,48504.00,51885.93
Portland Timbers,Gallego,Bryan,D,36500.00,36750.00
FC Dallas,Garcia,Danny,M,55000.00,71000.00
LA Galaxy,Garcia,Rafael,M,48825.00,48825.00
Real Salt Lake,Garcia,Olmes,F,125000.00,125000.00
POOL,Gardner,Joshua,M,70000.00,70000.00
LA Galaxy,Gargan,Dan,D,48500.00,48500.00
Houston Dynamo,Garrido,Luis,M,150000.00,150000.00
Columbus Crew,Gehrig,Eric,M,48825.00,48825.00
Columbus Crew,George,Kevan,M,48825.00,48825.00
Real Salt Lake,Gil,Luis,M,220000.00,315083.33
Real Salt Lake,Glad,Justen,D,36500.00,47500.00
Portland Timbers,Gleeson,Jake,GK,66000.00,69493.44
New England Revolution,Goncalves,Jose,D,450000.00,479375.00
Toronto FC,Goncalves,Jackson,D,150000.00,202500.00
FC Dallas,Gonzalez,Jesse,GK,48500.00,48500.00
LA Galaxy,Gonzalez,Omar,D,1000000.00,1250000.00
Montreal Impact,Gonzalez,Santiago,M/F,50000.00,50000.00
Seattle Sounders FC,Gonzalez,Leonardo,D,150000.00,150000.00
San Jose Earthquakes,Goodson,Clarence,D,315000.00,342000.00
LA Galaxy,Gordon,Alan,F,185000.00,206666.67
San Jose Earthquakes,Gorlitz,Andreas,D,90000.00,99737.19
Real Salt Lake,Grabavoy,Ned,M,160000.00,175000.00
Real Salt Lake,Grossman,Cole,M,48825.00,48825.00
Sporting Kansas City,Gruenebaum,Andy,GK,85000.00,85000.00
Toronto FC,Hagglund,Nick,D,48500.00,48500.00
Seattle Sounders FC,Hahnemann,Marcus,GK,65000.00,65000.00
Colorado Rapids,Hairston,Marlon,M,70000.00,93000.00
Houston Dynamo,Hall,Tally,GK,200000.00,213500.00
Toronto FC,Hall,Jeremy,D,105000.00,115000.00
DC United,Hamid,Bill,GK,100000.00,114750.00
Toronto FC,Hamilton,Jordan,F,60000.00,72500.00
San Jose Earthquakes,Harden,Ty,D,68250.00,71665.21
Portland Timbers,Harrington,Michael,M-D,125000.00,125000.00
San Jose Earthquakes,Harris,Atiba,M-F,181500.00,189775.00
Vancouver Whitecaps,Harvey,Jordan,D,123750.00,123750.00
FC Dallas,Hedges,Matt,D,120000.00,120000.00
New York Red Bulls,Henry,Thierry,F,3750000.00,4350000.00
Toronto FC,Henry,Doneil,D,75000.00,87083.33
FC Dallas,Hernandez,Moises,D,48825.00,50450.00
Philadelphia Union,Hernandez,Cristhian,M,72500.00,74375.00
San Jose Earthquakes,Hernandez,Jason,D,210000.00,213333.33
Columbus Crew,Higuain,Federico,M-F,580000.00,744000.00
Colorado Rapids,Hill,Kamani,M,48825.00,48825.00
LA Galaxy,Hoffman,Chandler,F,48500.00,48500.00
FC Dallas,Hollingshead,Ryan,M,48500.00,48500.00
Philadelphia Union,Hoppenot,Antoine,F,54450.00,54450.00
Houston Dynamo,Horst,David,D,70000.00,72750.00
Chivas USA,Hurtado,Jhon Kennedy,D,210000.00,210000.00
Vancouver Whitecaps,Hurtado,Erik,F/M,51150.00,86150.00
LA Galaxy,Husidic,Baggio,M,90000.00,90000.00
Chicago Fire,Ianni,Patrick,D,150000.00,150000.00
New England Revolution,Imbongo,Dimitry,F,112500.00,122375.00
DC United,Inkoom,Samuel,D,84000.00,103875.00
Colorado Rapids,Irwin,Clint,GK,75000.00,87000.00
LA Galaxy,Ishizaki,Stefan,M,200000.00,213000.00
New England Revolution,Jackson,Larry,GK,36504.00,36504.00
Montreal Impact,Jackson-Hamel,Anthony,F,36504.00,36504.00
New York City FC,Jacobson,Andrew,M,180000.00,180000.00
San Jose Earthquakes,Jahn,Adam,F,48500.00,48500.00
Real Salt Lake,Jaime,Sebastian,F,216000.00,216000.00
LA Galaxy,Jamieson,Bradford,F,36500.00,36500.00
Chivas USA,Jean-Baptiste,Andrew,D,80000.00,95000.00
DC United,Jeffrey,Jared,M,65000.00,71200.00
Portland Timbers,Jewsbury,Jack,D,115000.00,132500.00
Columbus Crew,Jimenez,Hector,M,75000.00,75000.00
FC Dallas,John,George,D,300000.00,326666.67
Chicago Fire,Johnson,Sean,GK,250000.00,253000.00
DC United,Johnson,Eddie,F,505000.00,613333.33
Houston Dynamo,Johnson,Jason,F,80000.00,121000.00
Portland Timbers,Johnson,Will,F,300000.00,325000.00
New England Revolution,Jones,Jermaine,M,3000000.00,3252500.00
New England Revolution,Joseph,Shalrie,M,248500.00,294000.00
Chicago Fire,Joya,Benji,M,48504.00,53504.00
Sporting Kansas City,Juliao,Igor,D,48500.00,48500.00
Chicago Fire,Jumper,Hunter,D,48500.00,48500.00
LA Galaxy,Juninho,,M,325000.00,325000.00
Toronto FC,Junior,Gilberto,F,1145000.00,1205000.00
Sporting Kansas City,Kafari,Michael,M,36504.00,36504.00
Portland Timbers,Kah,Pa Modou,D,240000.00,245000.00
Chivas USA,Kaji,Akira,D,48504.00,48504.00
Orlando City SC,Kaka,,M,6660000.00,7167500.00
Chicago Fire,Kann,Alec,GK,48500.00,48500.00
LA Galaxy,Keane,Robbie,F,4500000.00,4500000.00
FC Dallas,Keel,Stephen,D,48825.00,48825.00
DC United,Kemp,Taylor,D,36504.00,36504.00
Sporting Kansas City,Kempin,Jonathan,GK,70000.00,77083.33
Chivas USA,Kennedy,Dan,GK,211750.00,213416.67
New York Red Bulls,Kimura,Kosuke,D,105000.00,105000.00
Chicago Fire,Kinney,Steven,D,48825.00,48825.00
DC United,Kitchen,Perry,D,143500.00,228950.00
Colorado Rapids,Klute,Chris,D,75000.00,80144.10
Colorado Rapids,Knight,Zat,D,120000.00,139583.33
New England Revolution,Knighton,Brad,GK,78100.00,80700.00
San Jose Earthquakes,Knutsen,Billy,GK,36504.00,36504.00
New England Revolution,Kobayashi,Daigo,M,125000.00,136666.67
Vancouver Whitecaps,Koffie,Gershon,M,200000.00,211000.00
Toronto FC,Konopka,Chris,GK,60000.00,60000.00
DC United,Korb,Chris,D,90000.00,97298.33
San Jose Earthquakes,Koval,JJ,M,48500.00,48500.00
Seattle Sounders FC,Kovar,Aaron,M,48500.00,48700.00
Montreal Impact,Krol,Krzysztof,D,153000.00,153000.00
Sporting Kansas City,Kronberg,Eric,GK,120000.00,120000.00
Vancouver Whitecaps,Laba,Matias,M,300000.00,300000.00
Colorado Rapids,LaBrocca,Nick,M,135000.00,153333.33
New York Red Bulls,Lade,Connor,D,57750.00,61963.21
Philadelphia Union,Lahoud,Michael,M,99000.00,102333.33
Columbus Crew,Lampson,Matt,GK,48825.00,48825.00
Chicago Fire,Larentowicz,Jeff,D,245000.00,251000.00
Montreal Impact,Larrea,Gorka,M,48500.04,48500.04
Philadelphia Union,Le Toux,Sebastian,M,250000.00,262812.50
Montreal Impact,Lefevre,Wandrille,M,48500.00,48500.00
San Jose Earthquakes,Lenhart,Steven,F,250000.00,257500.00
Vancouver Whitecaps,Leveron,Johnny,D,80000.00,91187.50
Vancouver Whitecaps,Lewis,Andre,M,48500.00,53500.00
Houston Dynamo,Lisch,Michael,GK,36504.00,36504.00
Chivas USA,Lochhead,Tony,D,125000.00,125000.00
Seattle Sounders FC,Long,Aaron,M,36504.00,36504.00
Houston Dynamo,Lopez,Alexander,M,90000.00,110000.00
Sporting Kansas City,Lopez,Mikey,M,85000.00,157000.00
Real Salt Lake,Lopez,Benjamin,F,48500.00,51105.43
Toronto FC,Lovitz,Daniel,M,36504.00,36504.00
Seattle Sounders FC,Lowe,Damion,D,57500.00,68500.00
FC Dallas,Loyd,Zach,M,155000.00,176666.67
New York Red Bulls,Lozano,Armando,D,120000.00,130000.00
FC Dallas,Luccin,Peter,M,75000.00,114333.33
New York Red Bulls,Luyindula,Peguy,F,90000.00,90000.00
Philadelphia Union,MacMath,Zac,GK,120000.00,120000.00
Chicago Fire,Magee,Mike,F,350000.00,417500.00
Philadelphia Union,Maidana,Cristian,F,185000.00,198750.00
Montreal Impact,Mallace,Calum,M,50848.00,65848.00
Vancouver Whitecaps,Manneh,Kekuta,F,70000.00,99500.00
Toronto FC,Mannella,Chris,M,36504.00,36504.00
Real Salt Lake,Mansally,Kenny,F,65000.00,72000.00
Montreal Impact,Mapp,Justin,M,162250.00,174750.00
Philadelphia Union,Marquez,Richard,D,36504.00,36504.00
Seattle Sounders FC,Marshall,Chad,D,270000.00,286666.67
Colorado Rapids,Martin,Jose,M,230000.00,261000.00
DC United,Martin,Collin,M,55000.00,69166.67
Montreal Impact,Martins,Felipe,M,160000.00,192500.00
Seattle Sounders FC,Martins,Obafemi,F,1620000.00,1753333.33
Vancouver Whitecaps,Mattocks,Darren,F,140000.00,232000.00
Real Salt Lake,Maund,Aaron,D,36500.00,40250.00
Philadelphia Union,Mbolhi,Rais,GK,240000.00,240000.00
LA Galaxy,McBean,Jack,F,48500.00,48500.00
New England Revolution,McCarthy,Stephen,M,101332.00,132582.00
New York Red Bulls,McCarty,Dax,M,200000.00,242500.00
Montreal Impact,McInerney,Jack,F,230000.00,294166.67
Portland Timbers,McKenzie,Rauwshan,D,48825.00,48825.00
Philadelphia Union,McLaughlin,James,M,66000.00,75000.00
Chivas USA,McNamara,Thomas,M,48500.00,60000.00
New York Red Bulls,Meara,Ryan,GK,68250.00,69500.00
Sporting Kansas City,Medranda,Jimmy,M,48504.00,48504.00
POOL,Melia,Tim,GK,70000.00,75000.00
LA Galaxy,Mendiola,Raul,F,36500.00,36500.00
Columbus Crew,Meram,Justin,F,67452.00,91827.00
San Jose Earthquakes,Meredith,Bryan,GK,48500.00,48500.00
Montreal Impact,Messoudi,Zakaria,M,36504.00,36504.00
LA Galaxy,Meyer,Tommy,D,50848.00,64598.00
Vancouver Whitecaps,Mezquida,Nicolas,M-F,65000.00,65000.00
New York Red Bulls,Miazga,Matt,D,65000.00,71250.00
Montreal Impact,Miller,Eric,M/D,57500.00,68500.00
New York Red Bulls,Miller,Roy,M,200000.00,200000.00
Chivas USA,Minda,Oswaldo,M,150000.00,168750.00
Vancouver Whitecaps,Mitchell,Carlyle,D,48825.00,50075.00
FC Dallas,Moffat,Adam,M,165000.00,176608.33
Orlando City SC,Molino,Kevin,M,60000.00,71400.00
Colorado Rapids,Moor,Drew,D,235000.00,247000.00
Toronto FC,Moore,Luke,F,120000.00,128333.33
Real Salt Lake,Morales,Javier,M,300000.00,300000.00
Vancouver Whitecaps,Morales,Pedro,M,1190000.00,1410900.00
Toronto FC,Morgan,Ashtone,D,80000.00,92000.00
Toronto FC,Morrow,Justin,D,160000.00,169562.50
Real Salt Lake,Mulholland,Luke,M,55000.00,56250.00
Colorado Rapids,Mullan,Brian,M,48500.00,48500.00
San Jose Earthquakes,Muller,Tommy,D,48500.00,48500.00
New England Revolution,Mullins,Patrick,F,70000.00,100000.00
Sporting Kansas City,Munoz,Victor,M,36504.00,36504.00
Colorado Rapids,Mwanga,Danny,F,130000.00,171250.00
Sporting Kansas City,Myers,Chance,D-M,160000.00,185000.00
Sporting Kansas City,Nagamura,Paulo,M,220000.00,220000.00
Portland Timbers,Nagbe,Darlington,M/F,250000.00,260000.00
Montreal Impact,Nakajima-Farran,Issey,M,90000.00,110000.00
Portland Timbers,Nanchoff,Michael,M,48825.00,48825.00
Colorado Rapids,Nasco,Joe,GK,50000.00,52693.83
Seattle Sounders FC,Neagle,Lamar,M,110000.00,110000.00
DC United,Neal,Lewis,M,100000.00,106440.63
Colorado Rapids,Neeskens,John,D,42504.00,42504.00
New England Revolution,Neumann,Stephen,M-F,65000.00,86250.00
New England Revolution,Nguyen,Lee,M/F,175000.00,193750.00
Philadelphia Union,Nogueira,Vincent,M,330000.00,330000.00
Chivas USA,Nwiloh,Michael,D,36504.00,36504.00
Chicago Fire,Nyarko,Patrick,F,265000.00,284500.00
Chicago Fire,Nyassi,Sanna,M,147000.00,154625.00
New York Red Bulls,Obekop,Marius,M,36500.00,41500.00
Vancouver Whitecaps,O'Brien,Andy,D,250000.00,280000.00
Seattle Sounders FC,Ockford,Jimmy,D,36504.00,36504.00
Toronto FC,Oduro,Dominic,F,250000.00,251666.67
Seattle Sounders FC,Okoli,Sean,F,48500.00,48750.00
Philadelphia Union,Okugo,Amobi,M,145000.00,228000.00
New York Red Bulls,Olave,Jamison,D,280000.00,290000.00
Sporting Kansas City,Olum,Lawrence,M/D,48825.00,48825.00
Colorado Rapids,O'Neill,Shane,M,56250.00,67750.00
Sporting Kansas City,Opara,Ike,D,97500.00,103750.00
DC United,Opare,Kofi,D,48500.00,48500.00
Portland Timbers,O'Rourke,Danny,D,55008.00,55008.00
Toronto FC,Orr,Bradley,D,75000.00,75000.00
Toronto FC,Osorio,Jonathan,M,135000.00,142599.68
Montreal Impact,Ouimette,Karl,D,48825.00,48825.00
Vancouver Whitecaps,Ousted,David,GK,250000.00,266156.25
Houston Dynamo,Ownby,Brian,M,48825.00,48825.00
Columbus Crew,Paladini,Daniel,M,75000.00,76666.67
Chicago Fire,Palmer,Lovel,M,82500.00,87000.00
Sporting Kansas City,Palmer-Brown,Erik,D,48500.00,49000.00
Portland Timbers,Paparatto,Norbeto,D,100000.00,100000.00
Seattle Sounders FC,Pappa,Marco,M,75000.00,75000.00
DC United,Parke,Jeff,D,215000.00,235500.00
Columbus Crew,Parkhurst,Michael,D,275000.00,300000.00
Seattle Sounders FC,Parsemain,Kevin,F,48504.00,54486.81
Chicago Fire,Pause,Logan,M,75000.00,75000.00
Montreal Impact,Pearce,Heath,D,100000.00,100000.00
Portland Timbers,Peay,Taylor,D,36500.04,36500.04
Chivas USA,Pelletieri,Agustin,M,90000.00,90000.00
LA Galaxy,Penedo,Jaime,GK,135000.00,138562.50
FC Dallas,Pereira,Michel,M/D,120000.00,141500.00
FC Dallas,Perez,Blas,F,335000.00,359250.00
San Jose Earthquakes,Perez,Matias,M,216000.00,216000.00
LA Galaxy,Perk,Brian,GK,60000.00,63125.00
Montreal Impact,Perkins,Troy,GK,250000.00,271833.33
New York Red Bulls,Perrinelle,Damien,D,100008.00,100008.00
Sporting Kansas City,Peterson,Jacob,F,110000.00,114833.33
Philadelphia Union,Pfeffer,Zach,M,75000.00,85000.00
Montreal Impact,Piatti,Ignacio,M,387500.00,387500.00
San Jose Earthquakes,Pierazzi,Jean Baptiste,M,240000.00,240000.00
Colorado Rapids,Piermayr,Thomas,D,70008.00,74429.56
Chicago Fire,Pineda,Victor,M,60000.00,66742.42
Seattle Sounders FC,Pineda,Gonzalo,M,80000.00,80000.00
San Jose Earthquakes,Pintos,Pablo,D,60000.00,122500.00
Real Salt Lake,Plata,Joao,F,70000.00,70000.00
Columbus Crew,Pogatetz,Emanuel,D,360000.00,372500.00
Chicago Fire,Pongolle,Florent,F,72000.00,81000.00
DC United,Pontius,Chris,M-F,350000.00,381000.00
DC United,Porter,Kyle,M,52313.00,60955.71
Portland Timbers,Powell,Alvas,D,48828.00,48828.00
Colorado Rapids,Powers,Dillon,M,95150.00,127650.00
Orlando City SC,Redding,Tommy,D,36500.00,44000.00
Seattle Sounders FC,Remick,Dylan,D,36500.00,36500.00
Chivas USA,Reo-Coker,Nigel,D-M,400000.00,446500.00
Chicago Fire,Reynish,Kyle,GK,74000.00,78316.67
Philadelphia Union,Ribeiro,Pedro,M,36504.00,36504.00
LA Galaxy,Ribeiro Da Silva,Leonardo,D,105000.00,105000.00
Toronto FC,Richter,Ryan,F,48500.00,48500.00
Portland Timbers,Ricketts,Donovan,GK,260000.00,260000.00
Portland Timbers,Ridgewell,Liam,D,1200000.00,1200000.00
LA Galaxy,Riley,James,D,80000.00,80000.00
Real Salt Lake,Rimando,Nick,GK,225000.00,235833.33
Chicago Fire,Ritter,Chris,M,48500.00,48500.00
Chivas USA,Rivero,Martin,M,50004.00,50004.00
Toronto FC,Roberts,Quillan,GK,36504.00,36504.00
DC United,Robinson,Jalen,D,55000.00,67000.00
New York Red Bulls,Robles,Luis,GK,100000.00,125000.00
Montreal Impact,Rodriguez,Adrian Lopez,D,240000.00,291250.00
LA Galaxy,Rogers,Robbie,F,160000.00,167500.00
DC United,Rolfe,Chris,F,210000.00,225000.00
Montreal Impact,Romero,Andres,F,60000.00,60000.00
Vancouver Whitecaps,Rosales,Mauro,M,450000.00,450000.00
Seattle Sounders FC,Rose,Andy,M,48825.00,48825.00
LA Galaxy,Rowe,Brian,GK,48825.00,48825.00
New England Revolution,Rowe,Kelyn,M,100000.00,181000.00
LA Galaxy,Rugg,Charlie,F,48500.00,48500.00
